id,name
2,American
2754,Argentinian
1685,Australian
6827,Bangladeshi
7676,Brazilian
1374,British
6679,Cajun
18,Caribbean
4416,"Central American"
372,Chinese
32,Creole
141,Ethiopian
688,Filipino
280,French
492,German
50,Ghanaian
95,Greek
24,Indian
2081,Indonesian
4,Italian
1,Japanese
1354,Jewish
75,Korean
128,Lebanese
259,Malaysian
16,Mexican
263,"Middle Eastern"
590,Moroccan
369,Nigerian
9,Pakistani
308,Persian
1707,Peruvian
5401,Portuguese
48,Russian
868,Scandinavian
13348,Serbian
134,Spanish
385,"Sri Lankan"
78,Thai
625,Turkish
577,Vietnamese
