canonical_name,canonical_lc,category
avocado,avocado,Produce
brain,brain,Other
bread,bread,Other
butter,butter,Other
cheese,cheese,Other
chicken,chicken,Other
"cream cheese","cream cheese",Other
dome,dome,Other
egg,egg,Other
garlic,garlic,Produce
"green chiili","green chiili",Other
lime,lime,Produce
liver,liver,Other
lungs,lungs,Other
milk,milk,Other
oil,oil,Other
"olive oil","olive oil",Other
oninon,oninon,Other
onion,onion,Produce
oniones,oniones,Other
parsly,parsly,Other
pasta,pasta,Grains
pepper,pepper,Other
potato,potato,Other
rice,rice,Other
salt,salt,Spices
sausages,sausages,Other
soysauce,soysauce,Other
spaghettie,spaghettie,Other
speghettie,speghettie,Other
spic,spic,Other
spice,spice,Other
spices,spices,Other
tomato,tomato,Produce
tomatoe,tomatoe,Other
tommatoes,tommatoes,Other
vinegar,vinegar,Other
water,water,Other
